	ID	SYSTEM	SUBSYSTEM	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB
	169	LIPIDS METABOLISM	FATTY ACID METABOLISM	cis-vaccenic acid degradation	0	vacc[c]	1	1	accoa[c]	9	9
						atp[c]			amp[c]		
						nad[c]			nadh[c]		
						coa[c]			ppi[c]		
						fad[c]			fadh2[c]		
						h2o[c]			h[c]		
						o2[c]					
	170	LIPIDS METABOLISM	FATTY ACID METABOLISM	Elaidate synthesis	0	glc_D[c]	9	9	elaid[c]	2	2
						nadph[c]	32	32	co2[c]	34	34
						atp[c]	16	16	h2o[c]	18	18
						nad[c]	34	34	nadp[c]	32	32
						hco3[c]	16	16	nadh[c]	34	34
						o2[c]	2	2	adp[c]	16	16
									pi[c]	16	16
									h[c]	4	4
	171	LIPIDS METABOLISM	FATTY ACID METABOLISM	Elaidate degradation	0	elaid[c]	1	1	accoa[c]	9	9
						atp[c]			amp[c]		
						nad[c]			nadh[c]		
						coa[c]			ppi[c]		
						fad[c]			fadh2[c]		
						h2o[c]			h[c]		
						o2[c]					
	172	LIPIDS METABOLISM	FATTY ACID METABOLISM	Linolenate synthesis	1	glc_D[c]	4	9	lnlnca[c]	1	2
						nadph[c]	14		co2[c]	15	
						atp[c]	15		h2o[c]	6	
						nad[c]	7		nadp[c]	14	
						hco3[c]	7		nadh[c]	16	
						o2[c]	1		adp[c]	7	
									pi[c]	7	
									h[c]	2	
	173	LIPIDS METABOLISM	FATTY ACID METABOLISM	Linolenate degradation	0	lnlnca[c]	1	1	accoa[c]	9	9
						atp[c]			amp[c]		
						nad[c]			nadh[c]		
						coa[c]			ppi[c]		
						fad[c]			fadh2[c]		
						h2o[c]			h[c]		
						o2[c]					
	174	LIPIDS METABOLISM	FATTY ACID METABOLISM	Linoleate synthesis	1	glc_D[c]	4	9	lnlc[c]	1	2
						nadph[c]	14		co2[c]	15	
						atp[c]	15		h2o[c]	6	
						nad[c]	7		nadp[c]	14	
						hco3[c]	7		nadh[c]	16	
						o2[c]	1		adp[c]	7	
									pi[c]	7	
									h[c]	2	
	175	LIPIDS METABOLISM	FATTY ACID METABOLISM	Linoleate degradation	0	lnlc[c]	1	1	accoa[c]	9	9
						atp[c]			amp[c]		
						nad[c]			nadh[c]		
						coa[c]			ppi[c]		
						fad[c]			fadh2[c]		
						h2o[c]			h[c]		
						o2[c]					
	176	LIPIDS METABOLISM	FATTY ACID METABOLISM	gamma-Linolenate synthesis	0	lnlc[c]	1	1	lnlncg[c]	1	1
						nadh[c]	1	1	nad[c]	1	1
						h[c]	1	1	h2o[c]	2	2
						o2[c]	1	1			
	177	LIPIDS METABOLISM	FATTY ACID METABOLISM	gamma-Linolenate degradation	0	lnlncg[c]	1	1	accoa[c]	9	9
						atp[c]			amp[c]		
						nad[c]			nadh[c]		
						coa[c]			ppi[c]		
						fad[c]			fadh2[c]		
						h2o[c]			h[c]		
						o2[c]					
	178	LIPIDS METABOLISM	FATTY ACID METABOLISM	Arachidonate synthesis	0	glc_D[c]	1	1	arachd[c]	2	2
						lnlc[c]	2	2	co2[c]	4	4
						atp[c]	2	4	adp[c]	2	4
						hco3[c]	2	2	pi[c]	2	4
						nadph[c]	8	8	nadp[c]	8	8
						h[c]	8	8	h2o[c]	14	14
						o2[c]	6	6			
	179	LIPIDS METABOLISM	FATTY ACID METABOLISM	Arachidonate degradation	0	arachd[c]	1	1	accoa[c]	10	10
						atp[c]			amp[c]		
						nad[c]			nadh[c]		
						coa[c]			ppi[c]		
						fad[c]			fadh2[c]		
						h2o[c]			h[c]		
						o2[c]					
	180	LIPIDS METABOLISM	FATTY ACID METABOLISM	Synthesis of malonyl-coa	0	glc_D[c]	1	1	malcoa[c]	2	2
						nad[c]	2	2	co2[m]	2	2
						nad[m]	2	2	nadh[c]	2	2
						coa[c]	2	2	nadh[m]	2	2
						atp[c]	1	1	amp[c]	1	1
						hco3[c]	2	2	ppi[c]	1	1
									h2o[c]	1	1
									h[m]	2	2
									h[c]	3	3
	181	LIPIDS METABOLISM	FATTY ACID METABOLISM	Synthesis of palmitoyl-CoA	0	glc_D[c]	4	4	pmtcoa[c]	1	1
						nadph[c]	14	14	co2[m]	15	15
						atp[c]	3	3	h2o[c]	12	12
						adp[c]	1	1	nadp[c]	14	14
						pi[c]	1	1	nadh[c]	8	8
						nad[c]	8	8	nadh[m]	8	8
						nad[m]	8	8	amp[c]	4	4
						coa[c]	1	1	ppi[c]	4	4
						hco3[c]	7	7	h[m]	8	
						h[c]	8				
	182	LIPIDS METABOLISM	BILE ACID SYNTHESIS	Taurochenodeoxycholate synthesis	0	chsterol[r]	1	1	tdchola[x]	1	1
						taur[x]	1	1	ppcoa[x]	1	1
						coa[x]	1	1	amp[x]	1	1
						atp[x]	1	1	ppi[x]	1	1
						o2[r]	1	1	nadp[m]	3	3
						o2[x]	1	1	nadp[r]	1	1
						o2[m]	3	3	nadh[r]	1	1
						nad[r]	1	1	nadp[c]	1	1
						h[c]	2	2	nad[c]	1	1
						h[m]	2	2	h2o[m]	3	3
						nadh[c]	1	1	h2o[r]	1	1
						nadph[c]	1	1	h2o[x]	1	1
						nadph[m]	3	3			
						nadph[r]	1	1			
	183	LIPIDS METABOLISM	BILE ACID SYNTHESIS	Glycochenodeoxycholate synthesis	0	chsterol[r]	1	1	dgchol[x]	1	1
						gly[x]	1	1	ppcoa[x]	1	1
						atp[x]	1	1	amp[x]	1	1
						fadh2[x]	1	1	ppi[x]	1	1
						coa[x]	1	1	fad[x]	1	1
						nadph[r]	1	1	h2o[r]	1	1
						nadph[c]	1	1	h2o[x]	3	3
						nadph[m]	3	3	h2o[m]	5	5
						nadph[x]	1	1	nadp[r]	1	1
						nad[r]	1	1	nadp[x]	1	1
						nadh[c]	1	1	nadp[c]	1	1
						h[m]	2	2	nadp[m]	3	3
						h[x]	1	1	nadh[r]	1	1
						h[c]	2	2	nad[c]	1	1
						o2[m]	3	3			
						o2[r]	1	1			
						o2[x]	2	2			
	184	LIPIDS METABOLISM	BILE ACID SYNTHESIS	tauro-cholate synthesis	0	chsterol[r]	1	1	tchola[x]	1	1
						taur[x]	1	1	ppcoa[x]	1	1
						coa[x]	1	1	amp[x]	1	1
						atp[x]	1	1	ppi[x]	1	1
						fadh2[x]	1	1	fad[x]	1	1
						nadph[r]	1	4	nadph[m]	1	2
						nadph[x]	1	1	nadp[r]	1	1
						nadph[m]	0	2	nadp[c]	1	2
						nadph[c]	0	1	nadp[m]	2	2
						nadh[c]	1	1	nadp[x]	1	1
						nadp[m]	0	1	nad[c]	1	1
						o2[r]	2	2	h2o[m]	2	2
						o2[m]	2	2	h2o[r]	2	2
						o2[x]	2	2	h2o[x]	3	3
						h[r]	1	1			
						h[c]	2	2			
						h[x]	1	1			
	185	LIPIDS METABOLISM	BILE ACID SYNTHESIS	glyco-cholate synthesis	0	chsterol[r]	1	1	gchola[x]	1	1
						gly[x]	1	1	ppcoa[x]	1	1
						atp[x]	1	1	amp[x]	1	1
						fadh2[x]	1	1	ppi[x]	1	1
						coa[x]	1	1	fad[x]	1	1
						nadph[r]	1	1	nadp[m]	1	1
						nadph[x]	1	1	nadp[r]	1	1
						nadph[m]	1	1	nadp[c]	1	1
						nadph[c]	1	1	nadp[x]	1	1
						nadh[c]	1	1	nad[c]	1	1
						h[r]	1	1	h2o[m]	2	2
						h[x]	1	1	h2o[x]	3	3
						h[c]	2	2	h2o[r]	2	2
						o2[r]	2	2			
						o2[m]	2	2			
						o2[x]	2	2			
	186	LIPIDS METABOLISM	EICOSANOID METABOLISM	Synthesis of thromboxane from arachidonate	0	arachd[r]	1	1	txa2[r]	1	1
						o2[r]	2	2	h2o[r]	1	1
						nadph[r]	1	1	nadp[r]	1	1
						h[r]	1	1			
	187	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	Synthesis of galactosyl glucosyl ceramide (link with ganglioside metabolism)	0	glc_D[c]			galgluside_hs[g]	1	1
						ser_L[c]	0	1	coa[c]	0	16
						nadph[c]	0	29	co2[c]	0	15
						atp[c]	0	14	h2o[c]	0	14
						hco3[c]	0	14	nadp[c]	0	29
						fad[c]	0	1	adp[c]	0	14
						h[c]	0	21	pi[c]	0	14
						lnlnca[c]	0		fadh2[c]	0	1
						lnlc[c]	0		udp[g]	0	1
						o2[c]	0		h[g]	0	1
						udpgal[g]	0	1	h[r]	0	1
						udpg[r]	0	1	udp[r]	0	1
	188	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	Synthesis of glucocerebroside	0	accoa[c]	0	16	gluside_hs[r]	1	1
						ser_L[c]	0	1	coa[c]	0	16
						nadph[c]	0	29	co2[c]	0	15
						atp[c]	0	14	h2o[c]	0	14
						hco3[c]	0	14	nadp[c]	0	29
						fad[c]	0	1	adp[c]	0	14
						h[c]	0	21	pi[c]	0	14
						lnlnca[c]	0		fadh2[c]	0	1
						lnlc[c]	0		h[r]	0	1
						o2[c]	0		udp[r]	0	1
						udpg[r]	0	1			
	189	LIPIDS METABOLISM	GLOBOSIDE METABOLISM	Synthesis of globoside (link with globoside metabolism)	0	accoa[c]	0	16	gbside_hs[g]	1	1
						ser_L[c]	0	1	coa[c]	0	16
						nadph[c]	0	29	co2[c]	0	15
						atp[c]	0	14	h2o[c]	0	14
						hco3[c]	0	14	nadp[c]	0	29
						fad[c]	0	1	adp[c]	0	14
						h[c]	0	21	pi[c]	0	14
						lnlnca[c]	0		fadh2[c]	0	1
						lnlc[c]	0		udp[g]	0	3
						o2[c]	0		h[g]	0	3
						udpacgal[g]	0	1	h[r]	0	1
						udpgal[g]	0	2	udp[r]	0	1
						udpg[r]	0	1			
	190	VITAMIN & COFACTOR METABOLISM	COENZYME NAD BIOSYNTHESIS	NAD synthesis from nicotinamide	0	ncam[c]	1	1	nad[c]	1	1
						prpp[c]	1	1	ppi[c]	2	2
						atp[c]	1	1			
						h[c]	2	2			
	191	VITAMIN & COFACTOR METABOLISM	COENZYME FAD BIOSYNTHESIS	FAD synthesis	0	ribflv[c]	1	1	fad[c]	1	1
						atp[c]	2	2	adp[c]	1	1
									ppi[c]	1	1
	192	VITAMIN & COFACTOR METABOLISM	COENZYME A BIOSYNTHESIS	Synthesis of coenzyme A	0	pnto_R[c]	1	1	coa[c]	1	1
						cys_L[c]	1	1	amp[c]	1	1
						atp[c]	4	4	adp[c]	2	2
									co2[c]	1	1
									ppi[c]	2	2
									h[c]	1	1
	193	VITAMIN & COFACTOR METABOLISM	UBIQUINONE 10 BIOSYNTHESIS	Synthesis of ubiquinone from tyrosine	0	tyr_L[m]	1	1	q10[m]	1	1
						akg[m]	1	1	glu_L[m]	1	1
						decdp[m]	1	1	ahcys[m]	3	3
						amet[m]	3	3	accoa[m]	1	1
						atp[m]	1	1	amp[m]	1	1
						coa[m]	1	1	ppi[m]	2	2
						nadph[m]	1	1	nad[m]	1	1
						nadh[m]	1	1	co2[m]	1	1
						o2[m]	3	3	h2o[m]	2	2
									nadp[m]	1	1
									h[m]	1	1
	194	VITAMIN & COFACTOR METABOLISM	FOLATE METABOLISM	Tetrahydrofolate synthesis	0	fol[c]	1	1	thf[c]	1	1
						nadph[c]	2	2	nadp[c]	2	2
						h[c]	1	1			
	195	VITAMIN & COFACTOR METABOLISM	VITAMIN B6 METABOLISM	Pyridoxal-phosphate synthesis	0	pydx[c]	1	1	pydx5p[c]	1	1
						atp[c]	1	1	adp[c]	1	1
									h[c]	1	1
	196	VITAMIN & COFACTOR METABOLISM	HEME METABOLISM	Synthesis of bilirubin	0	pheme[c]	1	1	bilirub[c]	1	1
						nadph[c]	0	4	h2o[c]	0	3
						h[c]	0	6	fe2[c]	0	1
						o2[c]	0	3	fe3[c]	0	1
						fadh2[c]	0	1	nadp[c]	0	4
									fad[c]	0	1
									co[c]	1	1
									globin[c]	0	1
	197	VITAMIN & COFACTOR METABOLISM	HEME METABOLISM	Heme synthesis	0	gly[m]	16	16	pheme[m]	2	2
						succoa[m]	16	18	h2o[m]	26	26
						fe2[m]	2	2	coa[m]	16	18
						h[m]	16	18	nh4[m]	8	8
						o2[m]	5	10	co2[m]	28	34
	198	GLYCAN METABOLISM	GPI ANCHOR BIOSYNTHESIS	Phosphatidyl-inositol to glucosaminyl-acylphosphatidylinositol	0	pail_hs[c]	1	1	gacpail_hs[c]	1	1
						uacgam[c]	1	1	udp[c]	1	1
						h2o[c]	1	1	ac[c]	1	1
						pmtcoa[c]	1	1	coa[c]	1	1
									h[c]	1	1
	199	GLYCAN METABOLISM	GPI ANCHOR BIOSYNTHESIS	Glucosaminyl-acylphosphatidylinositoll to deacylated-glycophosphatidylinositol (GPI)-anchored protein	0	gacpail_hs[r]	1	10	gpi_prot_hs[r]	1	10
						dolmanp_U[r]	3	3	dolp_U[r]	3	3
						pe_hs[r]	3	30	h[r]	6	30
						pre_prot[r]	1	10	dag_hs[r]	3	30
									gpi_sig[r]	1	10
	200	GLYCAN METABOLISM	N-GLYCAN METABOLISM	Degradation of n2m2nmasn	0	n2m2nmasn[l]	1	1	man[l]	3	3
						h2o[l]	8	8	acgam[l]	5	5
									Asn_X_Ser_Thr[l]	1	1
	201	GLYCAN METABOLISM	N-GLYCAN METABOLISM	Biosynthesis of m4mpdol_U	0	dolichol_U[c]	0.1	1	m4mpdol_U[c]	0.1	1
						ctp[c]	1	2	cdp[c]	1	1
						uacgam[c]	2	2	ump[c]	1	1
						gdpmann[c]	2	5	udp[c]	1	1
									gdp[c]	2	5
									h[c]	0	7
	202	GLYCAN METABOLISM	N-GLYCAN METABOLISM	Biosynthesis of g3m8masn	0	m4mpdol_U[r]	0.1	1	g3m8masn[r]	0.1	1
						dolmanp_U[r]	0.4	4	dolp_U[r]	0.7	7
						dolglcp_U[r]	0.3	3	h[r]	8	14
						Asn_X_Ser_Thr[r]	1	1	doldp_U[r]	0.1	1
						gdpmann[c]	0	3	gdp[c]	0	3
	203	GLYCAN METABOLISM	N-GLYCAN METABOLISM	Degradation of s2l2fn2m2masn	0	s2l2fn2m2masn[l]	1	1	man[l]	3	3
						h2o[l]	12	12	acnam[l]	2	2
									Asn_X_Ser_Thr[l]	1	1
									gal[l]	2	2
									fuc_L[l]	1	1
									acgam[l]	4	4
	204	GLYCAN METABOLISM	O-GLYCAN METABOLISM	Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)	0	Ser_Thr[g]	10	10	core2[g]	2	10
						udpacgal[g]	10	10	udp[g]	14	30
						udpgal[g]	2	10	h[g]	14	30
						uacgam[g]	2	10			
	205	GLYCAN METABOLISM	O-GLYCAN METABOLISM	Biosynthesis of core4 (N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)	0	Ser_Thr[g]	10	10	core4[g]	2	10
						udpacgal[g]	10	10	udp[g]	14	30
						uacgam[g]	4	20	h[g]	14	30
	206	GLYCAN METABOLISM	O-GLYCAN METABOLISM	Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine)	0	Ser_Thr[g]	1	1	Tn_antigen[g]	0.2	1
						udpacgal[g]	1	1	h[g]	1	1
									udp[g]	1	1
	207	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	Keratan sulfate biosynthesis from O-glycan (core 2-linked)	0	core2[g]	1	1	ksii_core2[g]	1	1
						cmpacna[g]			cmp[g]		
						udpgal[g]			h[g]		
						uacgam[g]			udp[g]		
						paps[g]			pap[g]		
	208	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	Keratan sulfate biosynthesis from O-glycan (core 4-linked)	0	core4[g]	1	1	ksii_core4[g]	1	1
						udpgal[g]			h[g]		
						cmpacna[g]			udp[g]		
						uacgam[g]			cmp[g]		
						paps[g]			pap[g]		
	209	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	Keratan sulfate degradation	0	ksi[l]	1	1	m2mn[l]	1	1
						h2o[l]			fuc_L[l]		
									Asn_X_Ser_Thr[l]		
									acgam[l]		
									acnam[l]		
									h[l]		
									so4[l]		
									gal[l]		
	210	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	Keratan sulfate biosynthesis from N-glycan	0	l2fn2m2masn[g]	1	1	ksi[g]	1	1
						cmpacna[g]			cmp[g]		
						uacgam[g]			h[g]		
						udpgal[g]			udp[g]		
						paps[g]			pap[g]		
