id	SYSTEM	SUBSYSTEM	DESCRIPTION	ORIGINAL.SOURCE	COMMENTS	REFERENCE	PATHWAYS.USED
X163	LIPIDS METABOLISM	FATTY ACID METABOLISM	Arachidonate synthesis	iHSA (173)	Arachidonic acid is a polyunsaturated fatty acid present in the phospholipids of membranes of the body's cells, which act as a lipid second messenger and as a key inflammatory intermediate.	https://doi.org/10.1016/S0167-7306(02)36007-1	FACOAL1821 (fatty-acid--CoA ligase - atp + coa + lnlc <==> amp + lnlccoa + ppi) -DESAT18_9(fatty acyl-CoA desaturase (n-C18:2CoA -> n-C18:3CoA) - h + lnlccoa + nadh + o2 --> (2) h2o + lnlncgcoa + nad) - FAEL183 (fatty-acyl-CoA elongation (n-C18:3CoA) - (5) h + lnlncgcoa + malcoa + (4) nadph + o2 --> co2 + coa + dlnlcgcoa + (3) h2o + (4) nadp) - DESAT20_1 (fatty acyl-CoA desaturase (n-C20:3CoA -> n-C20:4CoA) - dlnlcgcoa + h + nadh + o2 --> arachdcoa + (2) h2o + nad) - FACOAL204 (fatty-acid--CoA ligase - amp + arachdcoa + ppi <==> arachd + atp + coa ) RE0577X arachcoa[x] + h2o[x] <=> arach[x] + coa[x] + h[x]
X164	LIPIDS METABOLISM	FATTY ACID METABOLISM	Arachidonate degradation	iHSA (232)/recon2 (43)	Arachidonate is to be transformed into a group of eicosanoids (metabolites: prostaglandins, thromboxanes, and leukotrienes) during the inflammatory response and during physical activity	https://doi.org/10.1016/S0167-7306(02)36007-1	FAOXC204 (Beta oxidation of long chain fatty - arachdcoa + (9) coa + (5) fad + (9) h2o + (9) nad --> (10) accoa + (5) fadh2 + (9) h + (9) nadh)
X165	LIPIDS METABOLISM	FATTY ACID METABOLISM	Synthesis of malonyl-coa	recon2 (28 and 43)	Malonyl-CoA plays a key role in chain elongation in fatty acid biosynthesis and polyketide biosynthesis. It is also used in transporting alpha-ketoglutarate across the mitochondrial membrane	PAGE 94	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) - PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh) - ACCOAC (acetyl-CoA carboxylase - accoa + atp + hco3 --> adp + h + malcoa + pi)
X166	LIPIDS METABOLISM	FATTY ACID METABOLISM	Synthesis of palmitoyl-CoA	recon2 (27)	Palmitoyl-CoA is part of the carnitine shuttle system, which transports other fatty acyl-CoA molecules into the mitochondria for β-oxidation.	PAGE 94 // https://en.wikipedia.org/wiki/Palmitoyl-CoA	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) - PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh) - ACCOAC (acetyl-CoA carboxylase - accoa + atp + hco3 --> adp + h + malcoa + pi) - KAS8 (b-ketoacyl synthetase (palmitate, n-C16:0) - accoa + (20) h + (7) malcoa + (14) nadph --> (7) co2 + (8) coa + (6) h2o + hdca + (14) nadp) - FACOAL160i (C160 fatty acid activation - atp + coa + hdca --> amp + pmtcoa + ppi)
X167	LIPIDS METABOLISM	BILE ACID SYNTHESIS	Taurochenodeoxycholate synthesis	iHSA (244)	In humans, taurocholic acid and glycocholic acid (derivatives of cholic acid) and taurochenodeoxycholic acid and glycochenodeoxycholic acid (derivatives of chenodeoxycholic acid) are the major bile salts in bile.	http://www.hmdb.ca/metabolites/HMDB00951	P4507A1r (cytochrome P450, family 7, subfamily A, polypeptide 1 - chsterol + h + nadph + o2 --> h2o + nadp + xol7a) - HSD3B7 (hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 - nad + xol7a --> h + nadh + xol7aone) - XOL7AONEtr (lipid, flip-flop intracellular transport - xol7aone[c] <==> xol7aone[r]) - AKR1D (aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) - h + nadph + xol7aone --> nadp + xol7ah) - AKR1C41 (aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4) - h + nadh + xol7ah --> nad + xol7ah2) - XOL7AH2tm (lipid, flip-flop intracellular transport - xol7ah2[c] <==> xol7ah2[m]) -P45027A14m (5-beta-cytochrome P450, family 27, subfamily A, polypeptide 1-h + nadph + o2 + xol7ah2 --> h2o + nadp + xol7ah3) -P45027A15m (5-beta-cytochrome P450, family 27, subfamily A, polypeptide 1 - h + nadph + o2 + xol7ah3 --> (2) h2o + nadp + xol7ah2al) -P45027A16m (Cytochrome P450 27 - nadph + o2 + xol7ah2al --> dhcholestanate + h2o + nadp) - VLCS2p (Very-long-chain-fatty-acid-CoA ligase- atp + coa + dhcholestanate --> amp + dhcholestancoa + ppi) SCP3x (peroxisomal thiolase 2 - coa + dhcholestancoa + o2 --> dcholcoa + h2o + ppcoa) -BAAT5x (bile acid Coenzyme A: amino acid N-acyltransferase =dcholcoa + taur --> coa + tdchola)
X168	LIPIDS METABOLISM	BILE ACID SYNTHESIS	Glycochenodeoxycholate synthesis	iHSA (295)	In humans, taurocholic acid and glycocholic acid (derivatives of cholic acid) and taurochenodeoxycholic acid and glycochenodeoxycholic acid (derivatives of chenodeoxycholic acid) are the major bile salts in bile	http://www.hmdb.ca/metabolites/HMDB00637	P4507A1r (cytochrome P450, family 7, subfamily A, polypeptide 1 - chsterol + h + nadph + o2 --> h2o + nadp + xol7a) - HSD3B7 (hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 - nad + xol7a --> h + nadh + xol7aone) - XOL7AONEtr (lipid, flip-flop intracellular transport - xol7aone[c] <==> xol7aone[r]) - AKR1D (aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) - h + nadph + xol7aone --> nadp + xol7ah) - AKR1C41 (aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4) - h + nadh + xol7ah --> nad + xol7ah2) - XOL7AH2tm (lipid, flip-flop intracellular transport - xol7ah2[c] <==> xol7ah2[m]) -P45027A14m (5-beta-cytochrome P450, family 27, subfamily A, polypeptide 1-h + nadph + o2 + xol7ah2 --> h2o + nadp + xol7ah3) -P45027A15m (5-beta-cytochrome P450, family 27, subfamily A, polypeptide 1 - h + nadph + o2 + xol7ah3 --> (2) h2o + nadp + xol7ah2al) -P45027A16m (Cytochrome P450 27 - nadph + o2 + xol7ah2al --> dhcholestanate + h2o + nadp) - VLCS2p (Very-long-chain-fatty-acid-CoA ligase- atp + coa + dhcholestanate --> amp + dhcholestancoa + ppi) - AMACR2p (alpha-methylacyl-CoA racemase (reductase) -dhcholestancoa + (0.5) o2 --> dhcholoylcoa + h2o) - ACOX22x (acyl-Coenzyme A oxidase 2, branched chain - dhcholoylcoa + fadh2 + (0.5) o2 --> fad + thcholoylcoa) - HSD17B42x (hydroxysteroid (17-beta) dehydrogenase 4 - h + nadph + o2 + thcholoylcoa --> dhocholoylcoa + (2) h2o + nadp) - SCP2x (peroxisomal thiolase 2 - coa + dhocholoylcoa --> dgcholcoa + ppcoa) - BAAT3x (bile acid Coenzyme A: amino acid N-acyltransferase - dgcholcoa + gly --> coa + dgchol)
X169	LIPIDS METABOLISM	BILE ACID SYNTHESIS	tauro-cholate synthesis	iHSA (297)/recon2 (250, 252, 325)	In humans, taurocholic acid and glycocholic acid (derivatives of cholic acid) and taurochenodeoxycholic acid and glycochenodeoxycholic acid (derivatives of chenodeoxycholic acid) are the major bile salts in bile	PAGE 122 / http://www.hmdb.ca/metabolites/HMDB00036	P4507A1r (cytochrome P450, family 7, subfamily A, polypeptide 1 - chsterol + h + nadph + o2 --> h2o + nadp + xol7a) - HSD3B7 (hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 - nad + xol7a --> h + nadh + xol7aone) - P4508B13r (sterol 12-alpha-hydroxylase (nadh) - h + nadh + o2 + xol7aone --> h2o + nad + xoldiolone) - AKR1D2 (aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) -h + nadph + xoldiolone --> nadp + xoldioloneh) - AKR1C42 (aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4) - h + nadh + xoldioloneh --> nad + xoltriol) - P45027A11m (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase - h + nadph + o2 + xoltriol --> h2o + nadp + xoltetrol) - P45027A12m (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase - nadp + xoltetrol --> h + nadph + thcholst) - P45027A13m (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase -nadph + o2 + thcholst --> h2o + nadp + thcholstoic) - VLCSp (Very-long-chain-fatty-acid-CoA ligase - atp + coa + thcholstoic --> amp + cholcoar + ppi) - ACOX2x (acyl-Coenzyme A oxidase 2, branched chain - cholcoas + fadh2 + o2 --> cholcoads + fad + (2) h2o) - HSD17B4x (hydroxysteroid (17-beta) dehydrogenase 4 - cholcoads + h + nadph + o2 --> cholcoaone + h2o + nadp) - SCPx (peroxisomal thiolase 2 - cholcoaone + coa --> cholcoa + ppcoa) - BAAT2x(bile acid Coenzyme A: amino acid N-acyltransferase - cholcoa + taur --> coa + tchola)
X17	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxythymidine triphosphate synthesis (dTTP)	iHSA (17)/recon2 (114)	The same enzymes that reduce purine ribonucleotides to deoxyribonucleotides also act on pyrimidine nucleotides. These conversions are subject to mutual control by the other nucleotides. In addition to reduction of UDP, deoxyuridine phosphates can also be formed via deoxycytidine phosphates	PAGE 131-133	Combination of Glucose to PRPP pathways (HEX1, G6PDH2r, PGL,GND,RPI,PRPPS), UMP pathways (CBPS, ASPCTr, DHORTS,DHORD9,ORPT,OMPDC,UMPK, NDPK2 and CTPS1) and dTTP formation (RNDR3/4, (NDP6+DCMPDA) or NDP8,TMDS,DTMPK,NDPK4 )
X170	LIPIDS METABOLISM	BILE ACID SYNTHESIS	glyco-cholate synthesis	iHSA(298, 323)/recon2 (251)	In humans, taurocholic acid and glycocholic acid (derivatives of cholic acid) and taurochenodeoxycholic acid and glycochenodeoxycholic acid (derivatives of chenodeoxycholic acid) are the major bile salts in bile	PAGE 122 /http://www.hmdb.ca/metabolites/HMDB00138	P4507A1r (cytochrome P450, family 7, subfamily A, polypeptide 1 - chsterol + h + nadph + o2 --> h2o + nadp + xol7a) - HSD3B7 (hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 - nad + xol7a --> h + nadh + xol7aone) - P4508B13r (sterol 12-alpha-hydroxylase (nadh) - h + nadh + o2 + xol7aone --> h2o + nad + xoldiolone) - AKR1D2 (aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) -h + nadph + xoldiolone --> nadp + xoldioloneh) - AKR1C42 (aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4) - h + nadh + xoldioloneh --> nad + xoltriol) - P45027A11m (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase - h + nadph + o2 + xoltriol --> h2o + nadp + xoltetrol) - P45027A12m (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase - nadp + xoltetrol --> h + nadph + thcholst) - P45027A13m (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase -nadph + o2 + thcholst --> h2o + nadp + thcholstoic) - VLCSp (Very-long-chain-fatty-acid-CoA ligase - atp + coa + thcholstoic --> amp + cholcoar + ppi) - ACOX2x (acyl-Coenzyme A oxidase 2, branched chain - cholcoas + fadh2 + o2 --> cholcoads + fad + (2) h2o) - HSD17B4x (hydroxysteroid (17-beta) dehydrogenase 4 - cholcoads + h + nadph + o2 --> cholcoaone + h2o + nadp) - SCPx (peroxisomal thiolase 2 - cholcoaone + coa --> cholcoa + ppcoa) - BAAT1x (bile acid Coenzyme A: amino acid N-acyltransferase - cholcoa + gly --> coa + gchola)
X171	LIPIDS METABOLISM	EICOSANOID METABOLISM	Synthesis of thromboxane from arachidonate	recon2 (44)	Thromboxane is a hormone of the prostacyclin type released from blood platelets	http://www.hmdb.ca/metabolites/HMDB03208	PGS (Prostaglandin G/H synthase- arachd + h + nadph + (2) o2 --> h2o + nadp + prostgh2) -TXASr(Thromboxane-A synthase - prostgh2 --> txa2)
X172	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	Synthesis of galactosyl glucosyl ceramide (link with ganglioside metabolism)	iHSA (111)/recon2 (148)	Galactosylceramides (GalCer) are non-acidic monoglycosphingolipids. It's an intermediate in sphingolipid metabolism and is the second to last step in the synthesis of digalactosylceramidesulfate.		
X173	LIPIDS METABOLISM	GANGLIOSIDE METABOLISM	Synthesis of glucocerebroside	new	Glucocerebroside (also called glucosylceramide). Cerebrosides is the common name for a group of glycosphingolipids called monoglycosylceramides which are important components in animal muscle and nerve cell membranes. Cerebrosides have a single sugar group linked to ceramide. The most common are galactocerebrosides (containing galactose), the least common are glucocerebrosides (containing glucose).	http://www.hmdb.ca/metabolites/HMDB00140	UGCG (Ceramide glucosyltransferase - crm_hs + udpg --> gluside_hs + h + udp)
X174	LIPIDS METABOLISM	GLOBOSIDE METABOLISM	Synthesis of globoside (link with globoside metabolism)	new	Cerebrosides is the common name for a group of glycosphingolipids called monoglycosylceramides which are important components in animal muscle and nerve cell membranes. A globoside is a type of glycosphingolipid with more than one sugar as the side chain (or R group) of ceramide.	http://www.genome.jp/kegg-bin/show_pathway?map00603+G00094	A4GALTg (Lactosylceramide 4-alpha-galactosyltransferase - galgluside_hs + udpgal --> h + thcrm_hs + udp) - B3GALT3g (Beta-1,3-galactosyltransferase 3 - thcrm_hs + udpacgal --> gbside_hs + h + udp)
X175	VITAMIN & COFACTOR METABOLISM	COENZYME NAD BIOSYNTHESIS	NAD synthesis from nicotinamide	iHSA (113)	Nicotinate (niacin) and nicotinamide are precursors of the coenzymes nicotinamide-adenine dinucleotide (NAD+) and nicotinamideadenine dinucleotide phosphate (NADP+), jointly known as nicotinamide (or pyridine) nucleotides. By interconversion with their reduced forms, NADH and NADPH, they participate in several hundred redox reactions. These coenzymes therefore occupy a central role in metabolic processes of all living beings	PAGE 144	NMNS (NMN synthetase - h + ncam + prpp --> nmn + ppi) - NMNATr (nicotinamide-nucleotide adenylyltransferase - atp + h + nmn <==> nad + ppi)
X176	VITAMIN & COFACTOR METABOLISM	COENZYME FAD BIOSYNTHESIS	FAD synthesis	iHSA (115)/recon2 (336)	Besides the nicotinamide nucleotides NAD+ and NADP+ (3.7.9), the flavin nucleotides flavin-adenine dinucleotide (FAD) and flavin mononucleotide (FMN) are the other important group of hydrogen carriers. They take part in more than 200 redox reactions. These coenzymes are derived from the vitamin riboflavin by phosphorylation (FMN) and by a consecutive adenylylation (FAD) http://www.jbc.org/content/136/1/177.full.pdf  / http://www.jbc.org/content/182/2/795.long	PAGE 135	RBFK ( atp + ribflv --> adp + fmn + h) - FMNAT (FMN adenylyltransferase - atp + fmn + h --> fad + ppi)
X177	VITAMIN & COFACTOR METABOLISM	COENZYME A BIOSYNTHESIS	Synthesis of coenzyme A	iHSA (112)	Coenzyme A (CoA, CoASH, or HSCoA) is a coenzyme, notable for its role in the synthesis and oxidation of fatty acids, and the oxidation of pyruvate in the citric acid cycle.	PAGE 142	PNTK (pantothenate kinase - atp + pnto-R --> 4ppan + adp + h) -PPNCL3 (phosphopantothenate-cysteine ligase - 4ppan + atp + cys-L --> 4ppcys + amp + h + ppi) -PPCDC (phosphopantothenoylcysteine decarboxylase - 4ppcys + h --> co2 + pan4p) -PTPAT (pantetheine-phosphate adenylyltransferase - atp + h + pan4p <==> dpcoa + ppi) -DPCOAK (dephospho-CoA kinase - atp + dpcoa --> adp + coa + h)
X178	VITAMIN & COFACTOR METABOLISM	UBIQUINONE 10 BIOSYNTHESIS	Synthesis of ubiquinone from tyrosine	recon2 (113)	In yeast and in animals, the starting compound for biosynthesis is 4-hydroxyphenylpyruvate (which can be obtained from tyrosine by transamination). The attachment of a polyprenyl chain is followed by hydroxylation, methylation and decarboxylation	PAGE 73-75	TYRTA (tyrosine transaminase -akg + tyr-L <==> 34hpp + glu-L) - 34HPLFM (3-(4-hydroxyphenyl-)lactate formation - 34hpp + h + nadh --> 34hpl + nad) - T4HCINNMFM (4-hydroxycinnamate formation - 34hpl --> T4hcinnm + h2o) - COUCOAFm (p-coumaroyl-CoA formation - T4hcinnm + atp + coa --> amp + coucoa + ppi) - 4HBZCOAFm (4-hydroxybenzoyl-CoA formation -coa + coucoa + h2o + nad --> 4hbzcoa + accoa + h + nadh) - 4HBZFm (4-hydroxybenzoate formation - 4hbzcoa + h2o --> 4hbz + coa + h) - HBZOPT10m (Hydroxybenzoate Decaprenyltransferase - 4hbz + decdp --> 3dphb + ppi) - 3DPHBH1 (Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH) - 3dphb + h + nadh + o2 --> 3dpdhb + h2o + nad) - DHDPBMTm (dihydroxydecaprenylbenzoate methyltransferase - 3dpdhb + amet --> 3dpdhb_me + ahcys + h) - DPHMBDCm (3-Decaprenyl-4-hydroxy-5-methoxybenzoate - 3dpdhb_me + h --> 2dp6mep + co2) - COQ6m (Ubiquinone biosynthesis monooxgenase COQ6 - 2dp6mep + o2 --> 2dp6mobq + h2o) - COQ5m (Ubiquinone biosynthesis methyltransferase COQ5 - 2dp6mobq + amet --> 2dp6mobq_me + ahcys + h) - COQ7m (Ubiquinone biosynthesis COQ7 - 2dp6mobq_me + h + nadph + o2 --> 2dpmhobq + h2o + nadp) - COQ3m (methyltransferase COQ3 - 2dpmhobq + amet --> ahcys + h + q10)
X179	VITAMIN & COFACTOR METABOLISM	FOLATE METABOLISM	Tetrahydrofolate synthesis	iHSA (117)/recon2 (337)	The synthesis of folate starts with a two step conversion of GTP to dihydroneopterin-P3 by GTP cyclohydrolase I (GTPCH I). C-8 of GTP is released as formate. The enzyme, in contrast to GTPCH II (riboflavin synthesis), incorporates C atoms of ribose into the pteridine ring system. Dihydroneopterin-P3 is also an intermediate of the pathways leading to biopterin (3.7.6.3) and to methanopterin. The specific part of the tetrahydrofolate biosynthesis proceeds via a (so far unspecified) removal of all phosphates, side chain shortening and pyrophosphorylation to 2-amino-4-hydroxy-6-hydroxymethyl- 7,8-dihydropteridine-P2. The fusion of this intermediate with 4-aminobenzoate to 7,8-dihydropteroate is the target of the antibacterial action of sulfonamides. After the ATP dependent addition of glutamate, the resulting dihydrofolate is reduced to tetrahydro folate. In eukarya, the synthesis is performed in mitochondria. Some steps are catalyzed by species specific multifunctional enzymes	PAGE 138-139	FOLR2 (folate reductase - fol + nadph --> dhf + nadp) - DHFR (dihydrofolate reductase - dhf + h + nadph <==> nadp + thf)
X18	NUCLEOTIDE METABOLISM	SALVAGE	AMP salvage from adenine	iHSA (18)/recon2 (312)	The purine bases can be reconverted into their respective mononucleotides by reaction with 5-P-ribosyl-PP (salvage pathway). This is catalyzed by adenine P-ribosyl transferase and by hypoxanthine P-ribosyl transferase (HGPRT, which reacts with guanine and with hypoxanthine, the base moiety of IMP). For the phosphorylation of nucleosides, there are several kinases with different specificity.	PAGE 127-128	ADPT (adenine phosphoribosyltransferase - ade + prpp --> amp + ppi)
X180	VITAMIN & COFACTOR METABOLISM	VITAMIN B6 METABOLISM	Pyridoxal-phosphate synthesis	iHSA (118)/recon2 (108)	http://www.newworldencyclopedia.org/entry/Vitamin_B6 // Pyridoxine (pyridoxol), pyridoxal and pyridoxamine compose the vitamin B6 group. Pyridoxal and pyridoxamine phosphates act as essential coenzymes in a large number of amino acid conversions, e.g., transaminase, decarboxylase and dehydratase reactions.	PAGE 136	PYDXK atp[c] + pydx[c] -> adp[c] + h[c] + pydx5p[c]
X182	VITAMIN & COFACTOR METABOLISM	HEME METABOLISM	Heme synthesis	iHSA (103)/recon2 (353)	The last step of heme biosynthesis, the insertion of ferrous iron into protoporphyrinogen IX, is catalyzed by ferrochelatase. Eukaryotic ferrochelatases are membrane associated homodimers	PAGE 86	ALASm (5-aminolevulinate synthase - [m] : gly + h + succoa --> 5aop + co2 + coa) - PPBNGS (porphobilinogen synthase- [m] : (2) 5aop --> h + (2) h2o + ppbng) - HMBS (hydroxymethylbilane synthase - h2o + (4) ppbng --> hmbil + (4) nh4) - UPP3S (uroporphyrinogen-III synthase - hmbil --> h2o + uppg3) - UPPDC1 (uroporphyrinogen decarboxylase (uroporphyrinogen III) - (4) h + uppg3 --> (4) co2 + cpppg3) - CPPPGO (coproporphyrinogen oxidase (O2 required) - cpppg3 + (2) h + o2 --> (2) co2 + (2) h2o + pppg9) - PPPGOm (protoporphyrinogen oxidase [m] : (3) o2 + (2) pppg9 --> (6) h2o + (2) ppp9) - FCLTm (Ferrochelatase, mitochondrial - fe2 + ppp9 --> (2) h + pheme)
X183	VITAMIN & COFACTOR METABOLISM	GPI ANCHOR BIOSYNTHESIS	Phosphatidyl-inositol to glucosaminyl-acylphosphatidylinositol	new	http://www.pnas.org/content/95/16/9512.full	PAGE 100	PIACGT (phosphatidylinositol N-acetylglucosaminyltransferase -pail_hs + uacgam --> acgpail_hs + h + udp) - ACGPID (N-acetylglucosaminylphosphatidylinositol deacetylase -acgpail_hs + h2o --> ac + gpail_hs ) - GPIAT (glucosaminylphosphatidyl inositol acetyltransferase - gpail_hs + pmtcoa --> coa + gacpail_hs)
X185	GLYCAN METABOLISM	N-GLYCAN METABOLISM	Degradation of n2m2nmasn	recon2 (197)	Degradation happends in lysosomal by glycosylasparaginase.	http://metafishnet.appspot.com/humanpathway/165 // http://bigg1.ucsd.edu/bigg/showMap.pl?type=%27reaction%27&id=1884950&map=681892	GASNASE2ly (glycosylasparaginase, lysosomal - h2o + n2m2nmasn --> Asn-X-Ser/Thr + n2m2nm) - ENGASE2ly (endo-beta-N-acetylglucosaminidase, lysosomal - h2o + n2m2nm --> acgam + n2m2nmn) - AHEXASE2ly (beta-N-acetylhexosaminidase, lysosomal - (3) h2o + n2m2nmn --> (3) acgam + m2mn) - A_MANASEly (alpha-mannosidase, lysosomal - (2) h2o + m2mn --> (2) man + mn) - B_MANNASEly (beta-mannosidase, lysosomal - h2o + mn --> acgam + man)
X186	GLYCAN METABOLISM	N-GLYCAN METABOLISM	Biosynthesis of m4mpdol_U	recon2 (84 and 86)	This is the stepwise construction of glycosyl chains attached to membrane-bound dolichyl-P. Happends in ER.	PAGE 239	DOLK_U (Dolichol kinase, human (uterus) - ctp + dolichol_U --> cdp + dolp_U + h ) - GLCNACPT_U (UDP-GlcNAc:dolichol-phosphate GlcNAc phosphotransferase (uterus) - dolp_U + 2 h + uacgam -> naglc2p_U + ump ) - GLCNACT_U (UDP-GlcNAc:N-acetyl-D-glucosaminyl diphosphodolichol N-acetyl-D-glucosaminyltransferase (uterus)- naglc2p_U + uacgam --> chito2pdol_U + h + udp) - BDMT_U (GDPmannose:chitobiosyldiphosphodolichol beta-D-mannosyltransferase (uterus) - chito2pdol_U + gdpmann --> gdp + h + mpdol_U) - G13MT_U (Glycolipid 1,3-alpha-D-mannosyltransferase (uterus) - gdpmann + mpdol_U --> gdp + h + m1mpdol_U) - G16MT_U (Glycolipid 1,6-alpha-D-mannosyltransferase (uterus) - gdpmann + m1mpdol_U --> gdp + h + m2mpdol_U) - G12MT1_U (Glycolipid 1,2-alpha-D-mannosyltransferase (uterus) - gdpmann + m2mpdol_U --> gdp + h + m3mpdol_U) - G12MT2_U (Glycolipid 1,2-alpha-D-mannosyltransferase (uterus) - gdpmann + m3mpdol_U --> gdp + h + m4mpdol_U)
X188	GLYCAN METABOLISM	N-GLYCAN METABOLISM	Degradation of s2l2fn2m2masn	recon2 (230)	The step of catabolism of N-linked oligosaccharides of glycoproteins, in which the endo-beta-N-acetylglucosaminidase (ENGASE; EC 3.2.1.96) is involved in the processing of free oligosaccharides in the cytosol.	https://www.ncbi.nlm.nih.gov/pubmed/15647514	FUCASEly (alpha-fucosidase, lysosomal - h2o + s2l2fn2m2masn --> fuc-L + s2l2n2m2masn) - GASNASEly (glycosylasparaginase, lysosomal - h2o + s2l2n2m2masn --> Asn-X-Ser/Thr + s2l2n2m2m) - ENGASEly (endo-beta-N-acetylglucosaminidase, lysosomal - h2o + s2l2n2m2m --> acgam + s2l2n2m2mn) - SIAASEly (sialidase, lysosomal - (2) h2o + s2l2n2m2mn --> (2) acnam + l2n2m2mn) - GALASE1ly (beta-galactosidase, lysosomal - (2) h2o + l2n2m2mn --> (2) gal + n2m2mn) - AHEXASEly (beta-N-acetylhexosaminidase, lysosomal - (2) h2o + n2m2mn --> (2) acgam + m2mn) - A_MANASEly (alpha-mannosidase, lysosomal - (2) h2o + m2mn --> (2) man + mn) - B_MANNASEly (beta-mannosidase, lysosomal - h2o + mn --> acgam + man)
X189	GLYCAN METABOLISM	O-GLYCAN METABOLISM	Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)	recon2 (231)	The glycoproteins with core 2 branch provides additional backbone structure for the attachment of antigenic determinants, of cell adhesion ligands, and of branching point for Keratan sulfate biosynthesis.	PAGE 241	GALNTg (GalNAc transferase, Golgi apparatus [g] : Ser/Thr + udpacgal --> Tn_antigen + h + udp) - N3Tg (N-acetylgalactosamine 3-beta-galactosyltransferase, Golgi apparatus - Tn_antigen + udpgal --> T_antigen + h + udp) - CORE2GTg (Core 2 acetylglucosaminyltransferase, Golgi apparatus - T_antigen + uacgam --> core2 + h + udp)
X19	NUCLEOTIDE METABOLISM	SALVAGE	IMP salvage from hypoxanthine	iHSA (19)/recon2 (314)	The purine bases can be reconverted into their respective mononucleotides by reaction with 5-P-ribosyl-PP (salvage pathway). This is catalyzed by adenine P-ribosyl transferase and by hypoxanthine P-ribosyl transferase (HGPRT, which reacts with guanine and with hypoxanthine, the base moiety of IMP). For the phosphorylation of nucleosides, there are several kinases with different specificity.	PAGE 127-128	HXPRT (hypoxanthine phosphoribosyltransferase (Hypoxanthine) -: hxan + prpp --> imp + ppi)
